code,name,scie,grup,desc
B025,"Soya bean, white",Glycine max Merr,Grain Legumes,A. Soya bean; B. Garikalai; E. Soybean; G. Soya bean; H. Bhatmas; Kan. Soya bean; Kash. Muth; Kh. Toh rymbai; Mal. Soya bean; M. Nunghawai; Mar. Soya bean; N. Bhatmas; O. Soya bean; P. Soya bean dal; Tel. Soya bean; Tam. Soya bean; U. Soya.
C001,Agathi leaves,Sesbania grandiflora,Green Leafy Vegetables,"A. Bok phular paat; B. Bak ful shak; E. August tree leaves, Humming bird tree leaves, spinach; G. Agathio; H. Agasthi; Kan. Agase soppu; Mal. Agathi cheera; M. Chu chu Rangmei; Mar. Agasthi ka sag; O. Agasti; Tam. Agathi keerai; Tel. Avise akulu."
C002,"Amaranth leaves, green",Amaranthus gangeticus,Green Leafy Vegetables,A. Moricha sak; B. Notya Shaakh; G. Taldalja ni bhaaji; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Chaulai sag; S. Maarissa; Tam. Thandu keerai; Tel. Thotakoora; U. Cholai.
C003,"Amaranth leaves, red",Amaranthus gangeticus,Green Leafy Vegetables,A. Moricha; B. Lal Shaakh; G. Lal tandaljo; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Lal chaulai sag; S. Maarissa; Tel. Thotakoora; Tam. Thandu keerai; U. Cholai.
C004,"Amaranth leaves, red and green",Amaranthus gangeticus,Green Leafy Vegetables,A. Moricha; B. Notya Shaakh; G. Tandaljo; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Chaulai sag; S. Maarissa; Tam. Thandu keerai; Tel. Thotakoora; U. Cholai.
C005,"Amaranth, spinous, leaves, green",Amaranth spinosus,Green Leafy Vegetables,A. Moricha sak; B. Kanta-notya; G. Kanta vado tandaljo; H. Kantewali-notya; Kan. Mulla danthu; Kash. Mawal; Mal. Mullancheru- cheera; M. Chengkruk; Mar. Kantemanth; O. Kanta notay shak; P. Kantewali chaulai; Tam. Mulaikeerai; Tel. Mulla thotakura.
C006,"Amaranth, spinous, leaves, red and green",Amaranth spinosus,Green Leafy Vegetables,B. Kanta-notya shaak; G. Kanta vado tandaljo; H. Kantewali-notya; Kan. Mulla danthu; Kash. Mawal; Kh. Sla longmar; Mal. Mullancheru-cheera; M. Chengkruk; Mar. Kantemanth; O. Kanta neutia sag; P. Kantewali chaulai; Tam. Mulakeerai; Tel. Mulla thotakura.
C007,Basella leaves,Basella alba,Green Leafy Vegetables,A. Puroi sak; B. Pui shaak; E. Malabar spinach; G. Poi ni bhaji; H. Palak; Kan. Basale soppu; Kh. Sla palong dkhar; Mal. Vallicheera; Mar. Mayalu; O. Poi saaga; P. Paalak; Tam. Kodippasali; Tel. Bachhali.
C008,Bathua leaves,Chenopodium album.,Green Leafy Vegetables,A. Jilmil sak; B. Beto sak; G. Chilni bhaji; H. Bathua sagu; Kan. Sakothina soppu; Kash. Ushtahak; Kh. Sla jada; Mal. Parippuchira; M. Monsaobi; Mar. Chakavath; N. Bethe ko saag; O. Bathua sag; P. Bathu sag; Tel. Pappukura; Tam. Paruppukkeerai.
C009,Beetroot leaves,Beta vulgaris,Green Leafy Vegetables,A. Beetar sak; E. Beet greens; G. Beet ni bhaji; H. Chukandhar sag; Kan. Beet root soppu; Kash. Chogander Munji; Kh. Sla bit; Mal. Beet root cheera; Mar. Beet root ka sag; N. Bengali Palungo ko Saag; P. Chukandhar da sag; Tam. Beet root keerai; Tel. Beet root; U. beet patta.
C010,"Betel leaves, big (kolkata)",Piper betle,Green Leafy Vegetables,A. paan; B. Pan; G. Nagarvelna pan; H. Pan ka patha; Kan. Kadale soppu; Kh. Tympew Dkhar; Mal. Vettiiai; M. Kwa Mana; Mar. Pan-ka-patta; O. Pana; P.  Pan-da-patta; Tam. Vetrilai; Tel. Thamala paku; U. Paan ka patta.
C011,"Betel leaves, small",Piper betle,Green Leafy Vegetables,A. Paan; B. Pan; G. Nagarvelna pan; H. Pan ka patha; Kan. Kadale soppu; Kh. Tympew; Mal. Vettiiai; M. Kwa Mana; Mar. Pan-ka-patta; O. Pana; P. Pan-da-patta; Tel. Thamala paku; Tam. Vetrilai; U. Paan ka patta.
C012,Brussels sprouts,Brassica oleracea var. gemmifera,Green Leafy Vegetables,B. Biliti Bandhakopi; G. Nani kobi; H. Choote gobi; Kan. Mara kosu; Kash. Haakh; Mal. Kalakose; Mar. Chotee gobi; O. Chota bandha; P. Chooti band gobi; Tam. Kalaikose; Tel. Chinna cabbage; U. Choti bund gobh.
C013,"Cabbage, Chinese",Brassica rupa,Green Leafy Vegetables,A. China lai; G. Chinese kobi; Kash. Bandh; Kh. Salat chaina.
C014,"Cabbage, collard greens",Brassica oleracea var. Viridis,Green Leafy Vegetables,G. Kobi na pan; Kash. Bandh; Kh. Sla kubi; Tam. Seemai parattai keerai.
C015,"Cabbage, green",Brassica oleracea var. capitata f. alba,Green Leafy Vegetables,A. Bondhakobi; B. Badha kopi; G. Lili kobi; H. Bandh gobi; Kan. Kosu; Kash. Bandh gobi; Kh. Kubi; Mal. Muttu gose; M. Kobi Mana; Mar. Kobi; N. Banda kovi; O. Bandha kobi; P. Patta gobhi; S. Shaakaprabhedah; Tel. Gos koora; Tam. Muttaikose; U. Gobhi.
C016,"Cabbage, violet",Brassica oleracea var. capitata f. rubra,Green Leafy Vegetables,"A. Bondhakobi; B. Badha kopi; E. Red cabbage, Purple cabbage, Red Kraut, Blur kraut; G. Lal kobi; H. Bandh gobi; Kan. Kosu; Kash. Bandh gobi; Kh. Kubi saw; Mal. Muttu gose; Mar. Kobi; N. Banda kovi; O. Bandha kopee; P. Patta gobhi; S. Shaakaprabhedah; Tam. Muttaikose; Tel. Gos koora; U. Gobhi."
C017,Cauliflower leaves,Brassica oleracea var. botrytis,Green Leafy Vegetables,A. Phul kobir pat; B. Phul gopi pata; G. Fulawar na pan; H. Phul gobi patta; Kan. Hukosu; Kash. Phoolgobi panwathir; Kh. Sla phul; Mal. Cauliflower; M. Kobithamchetmai mana; Mar. Phul gobi; N. Kauli; O. Phula Kobi patra; P. Phool gobi di patte; S. Gojihvaa; Tam. Pookosu keerai; Tel. Go puvvu; U. Phul gobi.
C018,"Colocasia leaves, green",Colocasia antiquorum,Green Leafy Vegetables,A. Kasu sak; B. Kochu pata; G. Advi na pan; H. Arvi ka sag; Kan. Shamangadda yele; Kh. Sla wang; Mal. Chembu ilagal; M. Paan mana; Mar. Alu pan; N. Karkalo; O. Saru saga; P. Arbi-di-patte; Tam. Seppam ilaigal; Tel. Chama akulu; U. Arvi ka patta.
C019,Drumstick leaves,Moringa oleifera,Green Leafy Vegetables,"A. Sajina paat; B. Sajna pata; E. Horseradish leaves, Benzoil leaves; G. Saragwa na pan; H. Saijan patta; Kan. Nuggeyele; Mal. Muringa ela; M. Sajana mana; Mar. Shevaga pan; O. Sajna sag; P. Soanjhna da patta; Tam. Murungai keerai; Tel. Mulaga akulu; U. Sujineki palli."
C020,Fenugreek leaves,Trigonella foenum-graecum,Green Leafy Vegetables,A. Methi paat; B. Methi shak; G. Methi pandada; H. Methi sag; Kan. Menthya soppu; Kash. Kasori Methi; Kh. Sla methi; Mal. Uluva ila; M. Methi man; Mar. Methi sag; N. Methi pata; O. Methi sag; P. Methi di patte; Tel. Menthikoora; Tam. Vendhaiya keerai; U. Methi.
C021,Garden cress,Lepidium sativum,Green Leafy Vegetables,A. Bor manimuni; B. Halim sag; G. Asadio na pan; H. Halim ka patta; Kan. Allibija soppu; Kash. Halyun; Kh. Khliang syiar; Mal. Alivirai cheera; Mar. Ahiva ka patta; N. Chamsoor ko Saag; O. Kakharu Saga; P. Halim-da-sag; Tam. Alivirai keerai; Tel. Adityala akulu.
C022,"Gogu leaves, green stem",Hibiscus cannabinus,Green Leafy Vegetables,A. Tengamora; B. Mestapat; E. Roselle Leaves; G. Ambadi; H. Pitwa; Kan. Pundi; Kh. Sla jajew jyrngam; Mal. Pulichai cheera; M. Sougri mana; Mar. Ambadi; O. Nalite saga; P. Pitwa sag; Tam. Pulichchai keerai; Tel. Gongura; U. Ambada ki bhaji.
C023,"Gogu leaves, red stem",Hibiscus cannabinus,Green Leafy Vegetables,A. Tengamora; B. Mestapat; E. Roselle Leaves; G. Ambadi; H. Pitwa; Kan. Pundi; Kh. Sla jajew saw; Mal. Pulichai cheera; M. Sougri mana; Mar. Ambadi; O. Nalite saga; P. Pitwa sag; Tam. Pulichchai keerai; Tel. Gongura; U. Ambada ki bhaji.
C024,"Knol-Khol, leaves",Brassica oleracea,Green Leafy Vegetables,"A. Ool kobi; B. Olkopi sag; E. Knol Knol, Kohlrabi, Wild cabbage greens; G. Gath kobi na pan; H. Ganth gobi ka sag; Kan. Gedde kosu; Kash. Hakh Monji; Kh. Phan Kubi; Mal. Knol-khol cheera; M. Kobi Maru Kabi; Mar. Nol khol ka patta; N. Salgam ko saag; O. Ulgobi saga; P. Ganth gobi sag; Tam. Knol-Khol keerai; Tel. Knol-khol akulu."
C025,Lettuce,Lactuca sativa,Green Leafy Vegetables,A. Salad paat; G. Lettuce na pan; H. Salad ka patta; Kan. Lettuce soppu; Kash. Hakh; Kh. Salat dkhar; Mal. Lettuce cheera; Mar. Lettuce ka patta; N. Saalad ko paat; P. Salada sag; Tam. Ilaikosu; Tel. Kavu akulu; U. Kismisaag.
C026,Mustard leaves,Brassica juncea,Green Leafy Vegetables,A. Horiyo paat; B. Sorisa sag; E. Mustard greens; G. Sarasava pandada; H. Sarson ka sag; Kan. Sasuve yele; Kash. Hakh; Kh. Tyrso; Mal. Kadugu ila; M. Hangaam; Mar. Mochari-chi pan; N. Raayo ko Saag; O. Sarson ka saga; P. Saro da sag; Tam. Kadugu ilai; Tel. Ava akulu; U. Sarson ki patta.
C027,Pak Choi leaves,Brassica rapa var. chinensis,Green Leafy Vegetables,"E. Bok choy, Horse`s ear, Chinese celery cabbage, White mustard cabbage; G. Pak choi na pan."
C028,Parsley,Petroselinum crispum,Green Leafy Vegetables,A. Sugandhi lota; E. Garden parsley; G. Leela dhana; Mal. Seema malli; Mar. Kothimbir/dhane; Tam. Verkosu; Kan. Auchumooda; U. Ajmod; P. Parsley.
C029,Ponnaganni,Alternanthera sessilis,Green Leafy Vegetables,A. Matikaduri; B. Khanchari;G. Saranthi na pan; H. Saranthi sag; Kan. Honagone soppu; Mal. Ponnaganni cheera; M. Phakchet; Mar. Saranthi sag; O. Madarangh; Tam. Ponnaganni keerai; Tel. Ponnaganti koora; U. Kunte ki bhaji.
C030,"Pumpkin leaves, tender",Cucurbit maxima,Green Leafy Vegetables,A. Rongalao paat; B. Kumra shak; G. Kolam na pan; H. Kumhra sag; Kan. Kumbale soppu; Kash. Aal kaniji; Kh. Sla pathaw; Mal. Manthan elakai; M. Mairen mana; Mar. Bhopla chipan; O. Khakaru saga; P. Petha de pate; Tel. Gummadi akulu; Tam. Parangi ilai; U. Kaddu ka patta.
