code,name,scie,lang,grup,regn,tags,yield,preparation
A014,"Rice, parboiled, milled",Oryza sativa,A. Ukhua chaul; B. Siddha chowl; E. Converted rice; G. Bafela Chokha; H. Usna chawal; Kan. Kusubalakki; Kash. Tomul; Kh. Khaw boil; Mal. Puzhungal ari; M. Cheng; Mar. Ukadla tandool; O. Usuna chaula; P. Biga hua chawal; Tam. Puzhungal arisi; Tel. Uppudu biyyam.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,0.985,Washing
A015,"Rice, raw, milled",Oryza sativa,A. Milat khunda chaul; B. Chowl; G. Choka; H. Chawal; Kan. Akki; Kash. Tomul; Kh. Khaw boil; M. Cheng; Mar. Tondool; O. Chaula; P. Chaul; Tam. Arisi; Tel. Biyyam.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,0.985,Washing
A016,Samai,Panicum sumatrense,B. Sama; E. Little millet; G. Kuri; H. Shavan; Kan. Sama; Kash. Ganuhaar; Mal. Chama; Mar. Sava; O. Suan; P. Swank; Tam. Samai; Tel. Sama.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,0.965,Cleaning
A017,Varagu,Setaria italica,A. Konidhan; B. Syama dhan; E. Kodo millet; G. Ral gana; Kan. Priyangu thene; Kash. Snol; Mal. Thina; Mar. Rala; P. Kangni; Tam. Thinai; Tel. Karralu.,Cereals and Millets,5,vegetarian eggetarian fishetarian veg,0.985,Washing
A018,"Wheat flour, refined",Triticum aestivum,A. Moida; B. Maida; G. Maido; H. Maida; Kan. Maida; Kash. Oat; Kh. Moida; Mal. Maida mavu; M. Moida; Mar. Maida; N. Maida; O. Maida; P. Maida; Tam. Maida mavu; Tel. Maida pindi; U. Maida.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,0.99,None
A019,"Wheat flour, atta",Triticum aestivum,B. Ata; G. Samagra gha; H. Atta; Kan. Sampurna godhi hittu; Kash. Oat unno lota ghaun no lot; Mal. Godhambu mavu; Mar. Kaneek; O. Gahama atta; P. Atta; Tam. Mulu Godumai maavu; Tel. Sampurna godhuma pindi.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,0.99,None
A020,"Wheat, whole",Triticum aestivum,A. Ghehu; B. Gom; G. Ghaun; H. Gehun; Kan. Godhi; Kash. Kinek; Kh. Ukew; Mal. Godhumbu; M. Ghehu; Mar. Gehu; N. Gau; O. Gahama; P. Kanaka; S. Godhum; Tam. Godumai; Tel. Godhumalu; U. Gehun.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,0.9766666667,Washing
A021,"Wheat, bulgur",Triticum aestivum,"A. Dalia; B. Dalia; E. Burghul, Groats, Durum Wheat, Pasta wheat, Macaroni wheat; G. Bulgur ghaum; H. Dalia; Kan. Bulgur godhi; Kash. Kinek; Kh. Kew; Mal. Godhambu Ravu; Mar. Bulgur gahu; N. Gau ko pitho; O. Dalia; P. Dalia; Tam. Godumai ravai; Tel. Bulgur; U. Dalia.",Cereals and Millets,6,vegetarian eggetarian fishetarian veg,0.9866666667,Rinsing
A022,"Wheat, semolina",Triticum aestivum,"A. Suji; B. Suji; E. Durum wheat, Pasta wheat, Macaroni wheat; G. Ghaum soji; H. Gehun suji; Kan. Godhi rave; Kash. Sooj; Kh. Suji; Mal. Uppumavu; M. Suji; Mar. Gahu rava; N. Suji; O. Suji; P. Suji; Tam. Godumai ravai; Tel. Godhuma rava.",Cereals and Millets,6,vegetarian eggetarian fishetarian veg,0.99,None
A023,"Wheat, vermicelli",Triticum aestivum,A. Sewai; B. Semai; E. Very thin pasta; G. Ghaun ni sev; H. Siwain; Kan. Shevige; Kash. Sewian; Kh. Sewai lieh; Mal. Semiya; Mar. Siwain; O. Simai; P. Sevian; Tam. Semiya; Tel. Semiya; U. Semiya.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,0.99,None
A024,"Wheat, vermicelli, roasted",Triticum aestivum,A. Gom sewai; B. Semai; E. Very thin pasta; G. Ghaun ni Shekeli sev; H. Siwain; Kan. Shevige; Kash. Sewian; Kh. Sewai saw; Mal. Semiya; Mar. Siwain; O. Simai; P. Bhooni sevian; Tam. Semiya; Tel. Semiya; U. Semiya.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,0.99,None
B001,"Bengal gram, dal",Cicer arietinum,"A. Boot dail; B. Cholar dal; E. Split Bengal gram, Chickpea; G. Chana-ni-daad; H. Chan-ki-dal; Kan. Kadale bele; Kash. Chanu dal; Kh. Dai shana; Mal. Kadala parippu; M. Chana Tangkhai; Mar. Harabara dal; N. Chana ko Dal; O. Channa dali (Buta dali); P. Sholedi dal; Tam. Kadalaiparuppu; Tel. Sanaga papu; U. Chane ki dal.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9883333333,Washing
B002,"Bengal gram, whole",Cicer arietinum,"A. Boot; B. Chola; E. Chickpea; G. Chana; H. Chana, Kala chana; Kan. Kadale; Kash. Chanu; Kh. Shana kulai; Mal. Kadala; Mar. Harbara; M. Chana Mapum; N. Kabuli Chana; O. Buta; P. Shole; S. Chanak; Tam. Kondaikadalai; Tel. Sanagalu; U. Chana.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9366666667,"Washing, Shelling"
B003,"Black gram, dal",Phaseolus mungo,"A. Matir dail phola; B. Biulir dal; E. Urad bean, Mungo bean, Black matpe bean; G. Aadad ni daad; H. Urad dal; Kan. Uddhina bele; Kash. Kaha; Mal. Uzhunnu parippu; M. Sagol Hawai Tangkhai; Mar. Uddachi dal; N. Maas ko dal; O. Birri dali, Biri dali; P. Maa ki daal; S. Maassa; Tam. Ulutham paruppu; Tel. Minapa pappu; U. Mash ki dal.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9883333333,Washing
B004,"Black gram, whole",Phaseolus mungo,"A. Gota mati mah; B. Mashkolail; E. Urad bean, Mungo bean, Black matpe bean; G. Adad; H. Chhilke wali urad dal; Kan. Uddhina bele; Kash. Kaha; Kh. Dai iong; Mal. Uzhunu; M. Sagol Hawai; Mar. Uddachi dal; O. Birri, Biri; P. Sabut maa ki daal; Tam. Ulundhu; Tel. Minumulu Mapum",Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9533333333,"Washing, Skin Removal"
B005,"Cowpea, brown",Vigna catjang,"A. Lesera mahor guti; B. Barbati; E. Black eyed peas, Lobia peas; G. Chorap; H. Lobia; Kan. Alasande; Kh. Rymbai; Mal. Vella payaru; M. Pong Hawai; Mar. Chavli; N. Bodi; O. Jhudunga; P. Lobia; S. Raajamaassa; Tam. Karamani; Tel. Bobbarlu; U. baunir.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B006,"Cowpea, white",Vigna catjang,"A. Lesera mahor guti; B. Barbati; E. Black eyed peas, Lobia peas; G. Chorap; H. Lobia; Kan. Alasande; Kh. Rymbai lieh; Mal. Vella payaru; M. Pong Hawai; Mar. Chavli; N. Bodi; O. Jhudunga; P. Lobia; S. Raajamaassa; Tam. Karamani; Tel. Bobbarlu; U. Baunir.",Grain Legumes,1,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B007,"Field bean, black",Phaseolus vulgaris,"A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai Ri iong; Mal. Avar; Mar. Papta; O. Baragudi; P. Sem dal; Tam. Mochai; Tel. Chikkudu ginjalu.",Grain Legumes,1,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B008,"Field bean, brown",Phaseolus vulgaris,"A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai ri saw; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Mochai; Tel. Chikkudu ginjalu.",Grain Legumes,1,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B009,"Field bean, white",Phaseolus vulgaris,"A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai Ri lieh; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Mochai; Tel. Chikkudu ginjalu.",Grain Legumes,5,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B010,"Green gram, dal",Vigna radiata,"A. Dhua mogu dail; B. Mung dal; E. Mung bean, Maash, Moong; G. Mug ni daad; H. Mug dal; Kan. Hesara bele; Kash. Muang dal; Kh. U dai stem; Mal. Cheru payar parippu; M. Mung Hawai; Mar. Mug dal; N. Moong ko khoste; O. Muga Dali; P. Mungi-di-dal; Tam. Payatham paruppu; Tel. Pesara pappu; U. Moong dal.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9883333333,Washing
B011,"Green gram, whole",Vigna radiata,"A. Gota mogu mah; B. Moog; E. Mung bean, Maash, Moong; G. Mug; H. Mung; Kan. Hesare kalu; Kash. Muang; Kh. U dai jyrngam; Mal. Cheru Pararu; M. Mung Hawai; Mar. Mun; N. Moong; O. Muga; P. Sabut moong dal; S. Mudra; Tam. Pasipayir; Tel. Pesalu; U. Moong.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B012,"Horse gram, whole",Dolicus biflorus,"B. Kulotto- kalai; E. Kulthi bean, Hurali, Madras gram; G. Kuleeth; H. Kulthi; Kan. Hurule; Kash. Kurath; Mal. Muthira; Mar. Kuleeth; N. Bakulla; O. Kolatha; S. Kulattha; Tam. Kollu; Tel. Ulavalu; U. Kulthi.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B013,"Lentil, dal",Lens culinaris,A. Masur dail; B. Mosur dal; G. Masoor ni daad; H. Masoor dal; Kan. Laki Bele; Kash. Masoor; Kh. U dai saw; Mal. Vattu parippu; M. Hawai Masuri; Mar. lank dal; O. Masura dali; P. Dhooli masari dal; S. Triputta; Tam. Khesari paruppu; Tel. Lanka pappu.,Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9883333333,Washing
B014,"Lentil, whole, brown",Lens culinaris,A. Gota masur mah; B. Mosur; G. Masoor (Kathai); H. Masur dal; Kan. Masur bele; Kash. Masoor; Mal. Masur parippu; M. Hawai Masuri; Mar. Masur dal; N. Musuroo; O. Masura; P. Saboot masari dal; S. Masura; Tam. Mysore paruppu; Tel. Misur pappu; U. Masur dal.,Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B015,"Lentil, whole, yellowish",Lens culinaris,H. Masur dal; Tel. Misur pappu; Tam. Mysore paruppu; Kan. Masur bele; Mal. Masur parippu; Mar. Masur dal; O. Masura; B. Mosur; G. Masoor rakhoda; P. Saboot masari dal; U. Masur dal; A. Mosur (Dail); Kash. Masoor; S. Masura Musuroo; M. Hawai Masuri; Kh. U dai saw.,Grain Legumes,2,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B016,Moth bean,Vigna aconitifolia,"E. Mat bean, Turkish gram, Dew bean; H. Motha; Tam. Narippayir; Kan. Matki Kal; Mar. Matki; B. Kheri; G. Math; P. Bhiopnitam; P. Moth dal; Kh. Rymbai.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B017,"Peas, dry",Pisum sativum,"A. Gota motor; B. Matar; G. Sukha vatana; H. Sukhi Matar; Kan. Batani; Kash. Kaza; Kh. Shana mator; Mal. Pattani; Tam. Pattani; O. Matara; P. Sukhe hare matar dal; Kan., Tel. Batani; Kash. Kara; M. Hawai mangal.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B018,"Rajmah, black",Phaseolus vulgaris,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Kadi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma heh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Kale rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.",Grain Legumes,2,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B019,"Rajmah, brown",Phaseolus vulgaris,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Gulabi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma lieh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Bhoore rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B020,"Rajmah, red",Phaseolus vulgaris,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (lal); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma rit; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Lal rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.",Grain Legumes,3,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B021,"Red gram, dal",Cajanus cajan,"A. Rohor dail; B., Kash., H. Arhar dal; E. Pigeon pea; G. Tuver ni daad; Kan. Thugare bele; Kash. Masur; Kh. Dai shana; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; N. Rahar ko dal; O. Harada dal; P. Arhar dal; S. Aaddhakii; Tel. Kandi pappu; Tam. Tuvaramparuppu; U. Tuvar ki dal.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9883333333,Washing
B022,"Red gram, whole",Cajanus cajan,A. Gota rohor; E. Pigeon pea; G. Tuver; H. Arhar sabud; Kash. Masur; Kh. Rymbai ja; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; O. Harada; P. Arhar sabut dal; Tam. Tuvarai; Tel. Kandulu; U. Tuvar.,Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B023,Ricebean,Vigna umbellata,B. Galmoong; E. Ricebean; H. Meth; Kh. Rymbai ja; Mal. Kattuzhunnu; M. Chakwai ; N. Shiltong.,Grain Legumes,1,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B024,"Soya bean, brown",Glycine max,A. Soya bean; B. Garikalai; E. Soybean; G. Soya bean; H. Bhatmas; Kan. Soya bean; Kash. Muth; Kh. Toh rymbai; Mal. Soya bean; M. Nunghawai; Mar. Soya bean; N. Bhatmas; O. Soya bean; P. Soya bean dal; Tam. Soya bean; Tel. Soya bean; U. Soya.,Grain Legumes,6,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
B025,"Soya bean, white",Glycine max Merr,A. Soya bean; B. Garikalai; E. Soybean; G. Soya bean; H. Bhatmas; Kan. Soya bean; Kash. Muth; Kh. Toh rymbai; Mal. Soya bean; M. Nunghawai; Mar. Soya bean; N. Bhatmas; O. Soya bean; P. Soya bean dal; Tel. Soya bean; Tam. Soya bean; U. Soya.,Grain Legumes,1,vegetarian eggetarian fishetarian veg,0.9816666667,Washing
C001,Agathi leaves,Sesbania grandiflora,"A. Bok phular paat; B. Bak ful shak; E. August tree leaves, Humming bird tree leaves, spinach; G. Agathio; H. Agasthi; Kan. Agase soppu; Mal. Agathi cheera; M. Chu chu Rangmei; Mar. Agasthi ka sag; O. Agasti; Tam. Agathi keerai; Tel. Avise akulu.",Green Leafy Vegetables,1,vegetarian eggetarian fishetarian veg,0.7416666667,"Stem removal, Damaged leaves removal, Washing"
C002,"Amaranth leaves, green",Amaranthus gangeticus,A. Moricha sak; B. Notya Shaakh; G. Taldalja ni bhaaji; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Chaulai sag; S. Maarissa; Tam. Thandu keerai; Tel. Thotakoora; U. Cholai.,Green Leafy Vegetables,6,vegetarian eggetarian fishetarian veg,0.7916666667,"Stem removal, Washing"
C003,"Amaranth leaves, red",Amaranthus gangeticus,A. Moricha; B. Lal Shaakh; G. Lal tandaljo; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Lal chaulai sag; S. Maarissa; Tel. Thotakoora; Tam. Thandu keerai; U. Cholai.,Green Leafy Vegetables,1,vegetarian eggetarian fishetarian veg,0.7916666667,"Stem removal, Washing"
C004,"Amaranth leaves, red and green",Amaranthus gangeticus,A. Moricha; B. Notya Shaakh; G. Tandaljo; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Chaulai sag; S. Maarissa; Tam. Thandu keerai; Tel. Thotakoora; U. Cholai.,Green Leafy Vegetables,4,vegetarian eggetarian fishetarian veg,0.7916666667,"Stem removal, Washing"
C005,"Amaranth, spinous, leaves, green",Amaranth spinosus,A. Moricha sak; B. Kanta-notya; G. Kanta vado tandaljo; H. Kantewali-notya; Kan. Mulla danthu; Kash. Mawal; Mal. Mullancheru- cheera; M. Chengkruk; Mar. Kantemanth; O. Kanta notay shak; P. Kantewali chaulai; Tam. Mulaikeerai; Tel. Mulla thotakura.,Green Leafy Vegetables,4,vegetarian eggetarian fishetarian veg,0.7916666667,"Stem removal, Washing"
C006,"Amaranth, spinous, leaves, red and green",Amaranth spinosus,B. Kanta-notya shaak; G. Kanta vado tandaljo; H. Kantewali-notya; Kan. Mulla danthu; Kash. Mawal; Kh. Sla longmar; Mal. Mullancheru-cheera; M. Chengkruk; Mar. Kantemanth; O. Kanta neutia sag; P. Kantewali chaulai; Tam. Mulakeerai; Tel. Mulla thotakura.,Green Leafy Vegetables,2,vegetarian eggetarian fishetarian veg,0.7916666667,"Stem removal, Washing"
C007,Basella leaves,Basella alba,A. Puroi sak; B. Pui shaak; E. Malabar spinach; G. Poi ni bhaji; H. Palak; Kan. Basale soppu; Kh. Sla palong dkhar; Mal. Vallicheera; Mar. Mayalu; O. Poi saaga; P. Paalak; Tam. Kodippasali; Tel. Bachhali.,Green Leafy Vegetables,2,vegetarian eggetarian fishetarian veg,0.8083333333,"Thicker stem removal, Washing"
C008,Bathua leaves,Chenopodium album.,A. Jilmil sak; B. Beto sak; G. Chilni bhaji; H. Bathua sagu; Kan. Sakothina soppu; Kash. Ushtahak; Kh. Sla jada; Mal. Parippuchira; M. Monsaobi; Mar. Chakavath; N. Bethe ko saag; O. Bathua sag; P. Bathu sag; Tel. Pappukura; Tam. Paruppukkeerai.,Green Leafy Vegetables,2,vegetarian eggetarian fishetarian veg,0.7666666667,"Thicker stem removal, Washing"
C009,Beetroot leaves,Beta vulgaris,A. Beetar sak; E. Beet greens; G. Beet ni bhaji; H. Chukandhar sag; Kan. Beet root soppu; Kash. Chogander Munji; Kh. Sla bit; Mal. Beet root cheera; Mar. Beet root ka sag; N. Bengali Palungo ko Saag; P. Chukandhar da sag; Tam. Beet root keerai; Tel. Beet root; U. beet patta.,Green Leafy Vegetables,6,vegetarian eggetarian fishetarian veg,0.7333333333,"Tough stem removal, Washing"
C010,"Betel leaves, big (kolkata)",Piper betle,A. paan; B. Pan; G. Nagarvelna pan; H. Pan ka patha; Kan. Kadale soppu; Kh. Tympew Dkhar; Mal. Vettiiai; M. Kwa Mana; Mar. Pan-ka-patta; O. Pana; P.  Pan-da-patta; Tam. Vetrilai; Tel. Thamala paku; U. Paan ka patta.,Green Leafy Vegetables,6,vegetarian eggetarian fishetarian veg,0.8566666667,"Washing, Minimal stem trimming"
C011,"Betel leaves, small",Piper betle,A. Paan; B. Pan; G. Nagarvelna pan; H. Pan ka patha; Kan. Kadale soppu; Kh. Tympew; Mal. Vettiiai; M. Kwa Mana; Mar. Pan-ka-patta; O. Pana; P. Pan-da-patta; Tel. Thamala paku; Tam. Vetrilai; U. Paan ka patta.,Green Leafy Vegetables,4,vegetarian eggetarian fishetarian veg,0.8566666667,"Washing, Minimal stem trimming"
C012,Brussels sprouts,Brassica oleracea var. gemmifera,B. Biliti Bandhakopi; G. Nani kobi; H. Choote gobi; Kan. Mara kosu; Kash. Haakh; Mal. Kalakose; Mar. Chotee gobi; O. Chota bandha; P. Chooti band gobi; Tam. Kalaikose; Tel. Chinna cabbage; U. Choti bund gobh.,Green Leafy Vegetables,1,vegetarian eggetarian fishetarian veg,0.8,"Base trimming, Outer damaged leaves removal"
C013,"Cabbage, Chinese",Brassica rupa,A. China lai; G. Chinese kobi; Kash. Bandh; Kh. Salat chaina.,Green Leafy Vegetables,1,vegetarian eggetarian fishetarian veg,0.7916666667,"Outer leaves removal, Core removal, Washing"
C014,"Cabbage, collard greens",Brassica oleracea var. Viridis,G. Kobi na pan; Kash. Bandh; Kh. Sla kubi; Tam. Seemai parattai keerai.,Green Leafy Vegetables,1,vegetarian eggetarian fishetarian veg,0.75,"Outer leaves removal, Thick stem removal, Washing"
C015,"Cabbage, green",Brassica oleracea var. capitata f. alba,A. Bondhakobi; B. Badha kopi; G. Lili kobi; H. Bandh gobi; Kan. Kosu; Kash. Bandh gobi; Kh. Kubi; Mal. Muttu gose; M. Kobi Mana; Mar. Kobi; N. Banda kovi; O. Bandha kobi; P. Patta gobhi; S. Shaakaprabhedah; Tel. Gos koora; Tam. Muttaikose; U. Gobhi.,Green Leafy Vegetables,6,vegetarian eggetarian fishetarian veg,0.775,"Outer leaves removal, Core removal, Washing"
C016,"Cabbage, violet",Brassica oleracea var. capitata f. rubra,"A. Bondhakobi; B. Badha kopi; E. Red cabbage, Purple cabbage, Red Kraut, Blur kraut; G. Lal kobi; H. Bandh gobi; Kan. Kosu; Kash. Bandh gobi; Kh. Kubi saw; Mal. Muttu gose; Mar. Kobi; N. Banda kovi; O. Bandha kopee; P. Patta gobhi; S. Shaakaprabhedah; Tam. Muttaikose; Tel. Gos koora; U. Gobhi.",Green Leafy Vegetables,2,vegetarian eggetarian fishetarian veg,0.775,"Outer leaves removal, Core removal, Washing"
C017,Cauliflower leaves,Brassica oleracea var. botrytis,A. Phul kobir pat; B. Phul gopi pata; G. Fulawar na pan; H. Phul gobi patta; Kan. Hukosu; Kash. Phoolgobi panwathir; Kh. Sla phul; Mal. Cauliflower; M. Kobithamchetmai mana; Mar. Phul gobi; N. Kauli; O. Phula Kobi patra; P. Phool gobi di patte; S. Gojihvaa; Tam. Pookosu keerai; Tel. Go puvvu; U. Phul gobi.,Green Leafy Vegetables,6,vegetarian eggetarian fishetarian veg,0.7666666667,Tough stem removal
C018,"Colocasia leaves, green",Colocasia antiquorum,A. Kasu sak; B. Kochu pata; G. Advi na pan; H. Arvi ka sag; Kan. Shamangadda yele; Kh. Sla wang; Mal. Chembu ilagal; M. Paan mana; Mar. Alu pan; N. Karkalo; O. Saru saga; P. Arbi-di-patte; Tam. Seppam ilaigal; Tel. Chama akulu; U. Arvi ka patta.,Green Leafy Vegetables,6,vegetarian eggetarian fishetarian veg,0.65,"Thick stem removal, Washing"
