code,name,steaming,roasting,microwaving,grilling,frying,boiling,steaming_explanation,roasting_explanation,microwaving_explanation,grilling_explanation,frying_explanation,boiling_explanation
tocpha,α-Tocopherol,0.950,0.900,0.900,0.800,0.800,0.900,Alpha-tocopherol retention improves with cell wall breakdown.,"Alpha-tocopherol declines slightly, particularly at longer roasting times.",Varied by vegetable; some loss (2–32%) but generally retained.,Heat-sensitive; literature reports 65–80% retention depending on temp,Vitamin E is oxidation-sensitive; ~20% degraded during frying,Reported range: 85–95%; average used
tocphb,β-Tocopherol,0.975,1.000,0.900,0.780,0.800,0.900,Similar to α-tocopherol; assumed comparable retention.,Less studied individually; grouped with tocopherols as generally stable.,Same as alpha form; slight loss expected in high-temp vegetables.,Similar structure to α-Tocopherol; slightly less stable,Similar profile to α-tocopherol; vulnerable to heat and oxidation,Reported range: 85–95%; average used
tocphg,γ-Tocopherol,0.975,1.000,0.900,0.780,0.800,0.900,Stable under steaming; data shows good retention.,Less studied individually; grouped with tocopherols as generally stable.,Heat-stable; behaves like α- and β- forms.,Similar tocopherol; assigned same range,Degradation likely under deep-frying conditions,Reported range: 85–95%; average used
tocphd,δ-Tocopherol,0.975,1.000,0.900,0.780,0.800,0.900,Assumed stable under moist heat; retained well.,Less studied individually; grouped with tocopherols as generally stable.,Assumed similar profile as other tocopherols.,Estimated similarly to other tocopherol isomers,Less studied but grouped with similar tocopherols,Reported range: 85–95%; average used
toctra,α-Tocotrienol,1.000,1.000,0.900,0.750,0.850,0.900,Tocotrienols are fat-soluble and heat-stable under steaming.,Grouped under tocotrienols; no significant loss reported.,Heat-stable; same class as tocopherols.,Tocotrienols more heat-sensitive than tocopherols; estimate reflects this,Somewhat more stable than tocopherols under heat,Assumed same as tocopherols due to structural similarity
toctrb,β-Tocotrienol,1.000,1.000,0.900,0.750,0.850,0.900,Same as α-tocotrienol; stable in steam-cooking.,Grouped under tocotrienols; no significant loss reported.,Retained well; no specific microwave data but similar structure.,Assumed same as α-Tocotrienol due to structural similarity,Assumed similar retention as other tocotrienols,Assumed same as tocopherols due to structural similarity
toctrg,γ-Tocotrienol,1.000,1.000,0.900,0.750,0.850,0.900,Stable and fat-soluble; no significant loss in steaming.,Grouped under tocotrienols; no significant loss reported.,No degradation reported in literature; heat-resistant structure.,Same estimate as other tocotrienols,Moderately heat-sensitive; estimated from structural similarity,Assumed same as tocopherols due to structural similarity
toctrd,δ-Tocotrienol,1.000,1.000,0.900,0.750,0.850,0.900,Assumed same as other tocotrienols—high stability.,Grouped under tocotrienols; no significant loss reported.,Expected similar stability as other tocotrienols.,Same as others; slightly heat-labile,Same group behavior; assumed similar retention,Assumed same as tocopherols due to structural similarity
vite,α-Tocopherol equivalent (E),0.950,1.000,0.900,0.800,0.800,0.900,Computed from tocopherol isomers.,Total vitamin E (tocopherol equivalent) is mostly retained under typical conditions.,Estimate based on all tocopherol/tocotrienol components.,Derived from tocopherol average; confirmed by USDA broiled data,Calculated from individual tocopherols; degradation affects total,Calculated from sum of tocopherols/tocotrienols; same logic
vitk1,Phylloquinones (K1),0.900,0.900,0.900,0.900,0.850,0.950,Retention varies; sometimes increases in leafy greens.,Heat-stable to a moderate extent; ~75-95% range reported.,Retention varies; spinach shows 91% retention.,Fat-soluble and stable; USDA broiled meats show ~85–100%,"Relatively stable, but some degradation in prolonged frying",Very stable in boiling; avg from tables
vitk2,Menaquinones (K2),0.925,0.900,0.900,0.880,0.850,0.950,Assumed similar to K1 but more stable.,Estimated similar to K1; limited roasting-specific studies.,"Assumed similar to K1; fat-soluble, heat-resistant.",Fat-soluble; estimated from K1 due to similar chemistry,Similar heat response as K1; moderate loss estimated,Similar retention as K1
lutn,Lutein,1.075,0.900,1.050,0.830,0.850,0.900,Concentration effect due to water loss.,Stable under dry roasting in nuts; minimal loss reported.,Cell rupture increases extractability; up to 110% reported.,From USDA broiled lutein+zeaxanthin values,Moderately heat-sensitive carotenoid; partial degradation during frying,"Carotenoid; relatively stable, average from lutein-specific boiling data"
zea,Zeaxanthin,1.075,0.900,1.050,0.830,0.850,0.900,Fat-soluble and stable; mild increases reported after steaming.,Same trend as lutein.,Same as lutein; enhanced bioavailability from cell breakdown.,Same as lutein; often grouped together in data,Similar to lutein; degraded slightly under high heat,Xanthophyll like lutein; same boiling stability profile
crypxb,β-Cryptoxanthin,1.050,0.900,1.050,0.830,0.850,0.900,Stable carotenoid; likely full retention.,Stable under moderate heat; degradation possible with prolonged roasting.,Carotenoid class; enhanced availability after microwaving.,Carotenoid class; similar retention to β-carotene,Carotenoid degraded by high temperatures and oxygen exposure,Carotenoid; similar structure/stability to other xanthophylls
lycpn,Lycopene,1.050,0.850,1.050,0.830,0.900,0.900,Slight increase possible due to enhanced extractability from matrix.,More bioavailable post-roasting despite some degradation.,Microwave improves release from tomato matrix; >100% retention.,Fat-soluble and moderately heat-stable; USDA broiled vegetables support this,Relatively stable due to fat solubility; minor loss in frying,"Carotenoid; stable under heat, boiling enhances extractability"
cartg,γ-Carotene,1.050,0.900,1.050,0.830,0.900,0.900,Stable in steam; often unchanged.,"Grouped under total carotenoids, estimated ~90% retention.",Same as other carotenoids; release improves with heat.,Carotene class; assumed similar to α and β-carotene,Similar to β-carotene; moderate stability during frying,Carotenoid; follows general 80–95% range
carta,α-Carotene,1.050,0.900,1.050,0.830,0.900,0.900,Stable under moist heat; assumed full retention.,"Grouped under total carotenoids, estimated ~90% retention.",Microwaving enhances extractability; retention above raw values.,Heat-stable carotenoid; USDA shows moderate retention,Moderately heat-stable carotenoid,Boiling increases bioavailability; assumed similar to β-carotene
cartb,β-Carotene,1.075,0.800,1.050,0.830,0.900,0.900,May increase due to water loss and improved extractability.,Decreases under heat but enhanced bioavailability balances the impact.,Up to 356% retention observed in peppers; 105% used conservatively.,Well-documented in USDA and literature; stable with some degradation,"Partial degradation; sensitive to heat, but more stable than vitamin C",Stable and better absorbed post-boiling; avg from FAO/USDA sources
cartoid,Carotenoids,1.075,0.850,1.050,0.830,0.880,0.900,Fat-soluble and often shows increased extractability under steaming.,Mixed results; averaged across carotenes and xanthophylls.,Aggregate category; assumes net gain in bioavailability.,Average from constituent compounds above,Group average reflecting mixed stability of individual carotenoids,Average from specific carotenoid values above
al,Aluminium (Al),1.000,0.950,1.000,0.950,0.980,1.000,Al is not volatile nor water-leachable; fully retained during steaming.,Heat-stable; heavy metals not volatilized or degraded during roasting.,"Inorganic, heat-stable; unaffected by microwaving.",Stable under heat; minor loss possible via surface leaching if foil is used,Inorganic element; minimally affected by frying,Heavy metal; unaffected by heat or water
as,Arsenic (As),1.000,0.950,1.000,0.900,0.980,1.000,Toxic mineral; retention assumed as 100% as no evidence of steaming-induced reduction.,Trace mineral; retention assumed similar to other stable toxic minerals.,Heat-stable trace mineral; no data suggesting microwave sensitivity.,Some volatile inorganic forms may evaporate slightly; estimate based on dry cooking methods,Trace mineral; not volatile under cooking conditions,Elemental; retention assumed 100% per WHO/FAO
cd,Cadmium (Cd),1.000,0.950,1.000,0.950,0.980,1.000,Heat-stable and not affected by steaming; full retention assumed.,"Heat-stable; low volatility under dry-heat, minimal degradation.","No data indicating loss; inorganic, stable at microwave temperatures.",Heat-stable; minor reduction possible via fat drippings or volatilization,Heavy metal; retention close to 100% in food matrix,Toxic metal; chemically stable during boiling
ca,Calcium (Ca),1.000,0.950,0.975,0.900,1.000,0.950,Stable mineral; high retention confirmed in multiple studies and USDA data.,Stable; USDA data supports minimal losses in roasted foods.,Varies (80–125%); average estimate across foods.,Very stable; minor shifts only due to moisture content,Heat-stable macro-mineral; not lost in oil,Stable but some leaching possible; 85–100% range depending on matrix
cr,Chromium (Cr),1.000,0.950,0.975,0.900,0.980,0.900,Trace mineral unaffected by steam; no leaching expected.,Stable trace mineral; not prone to loss during roasting.,Assumed retained with other minerals; stable in heat.,Stable; but some forms (like Cr(VI)) can degrade or transform slightly with heat,Stable trace mineral; negligible change from frying,Trace mineral; stable per general mineral retention
co,Cobalt (Co),1.000,0.950,0.975,0.950,0.980,0.900,Trace mineral stable under heat; retention assumed at 100%.,Similar stability as other trace minerals; no data shows roasting losses.,No documented loss; heat-stable element.,Heat-stable trace metal; not significantly affected by grilling,Similar to other stable trace minerals,Trace mineral; stable with minimal leaching
cu,Copper (Cu),1.000,0.900,0.975,0.950,1.000,0.900,Stable during cooking; no significant leaching in steaming reported.,Some loss possible due to oxidation; USDA values range from 85-95%.,Stable in microwave cooking; no water leaching observed.,USDA broiled data suggests high stability; heat-resistant,Unaffected by deep-frying; inorganic and stable,Stable trace mineral; boiling loss minimal
fe,Iron (Fe),1.000,0.950,0.975,0.900,1.000,0.900,Fully retained in steam due to non-leaching nature and heat stability.,Stable under heat; confirmed via USDA and multiple food studies.,Ranges from 75–121%; conservative average used.,Minimal loss; heat-stable; bioavailability may increase,Highly stable; does not degrade with heat,Generally stable; small leaching may occur in leafy vegetables
pb,Lead (Pb),1.000,0.950,1.000,0.900,0.980,1.000,Toxic element; no evidence of loss via steaming; 100% assumed.,Stable heavy metal; assumed unchanged under dry heat.,Trace toxic element; no reported volatility or loss via microwaving.,Toxic metal; some forms may partially volatilize or leach in fat loss,Stable heavy metal; not affected by frying temperature,No breakdown during cooking; heavy metal
li,Lithium (Li),1.000,0.950,1.000,0.900,0.980,0.950,Trace element; retained during low-temp steam cooking.,Not specifically studied but behaves similarly to other trace minerals under heat.,No known degradation; inorganic element.,"Trace element, may leach in juices; dry heat likely retains majority",Very stable; no significant volatility or degradation,Alkali metal; slightly soluble but assumed stable in small food matrices
mg,Magnesium (Mg),1.000,0.900,0.975,0.900,1.000,0.900,Retention confirmed at ~100% in USDA and vegetable studies under steam.,Heat-stable; USDA range 75-95% depending on matrix.,Stable mineral; minimal loss due to low water usage in microwaving.,Stable mineral; USDA broiled retention averages around 90–100%,Unaffected by heat; completely retained,Water-soluble mineral; ~90% retained on average
mn,Manganese (Mn),1.000,0.900,0.975,0.950,1.000,0.900,Stable trace element; assumed full retention.,No major roasting losses reported; assumed similar to Mg.,Varies across vegetables; generally heat-stable and retained.,Heat-stable mineral; minimal loss during dry cooking,Heat-stable trace mineral,Stable trace element; limited water loss
hg,Mercury (Hg),1.000,0.900,1.000,0.850,0.950,1.000,Toxic metal; assumed fully retained during steam due to non-volatility.,High boiling point; assumed to remain stable under roasting conditions.,Toxic trace element; no evidence of loss or transformation via microwaving.,Mercury is semi-volatile; estimated 10–20% loss possible depending on form (esp. in fish),Assumed partial loss due to possible volatility,Metal; no loss via boiling
mo,Molybdenum (Mo),1.000,0.950,1.000,0.950,1.000,0.900,Micronutrient with heat stability; assumed 100% retention.,Stable; assumed based on other essential trace minerals.,"Inorganic, stable; no degradation observed.","Trace metal, heat-stable; little to no loss during grilling",Stable and retained fully during frying,Stable trace element per boiling mineral data
ni,Nickel (Ni),1.000,0.950,1.000,0.950,0.980,0.900,No known steam loss; assumed full retention.,"Not sensitive to dry heat; follows same pattern as Mo, Mn, Cr.",No heat or water solubility concerns; assumed retained.,Heat-stable metal; no significant data indicates loss under grilling conditions,Heat-stable trace mineral,Minimal loss during boiling; assumed based on other trace metals
p,Phosphorus (P),1.000,0.850,0.975,0.900,1.000,0.950,"Essential mineral, stable and retained during steaming.",Minor loss due to leaching or interaction with organic components.,Retention high; not water-leached in microwaving.,Stable during cooking; USDA broiled meats confirm high retention,Essential mineral; fully retained,Stable macromineral; retention high unless cooking water discarded
k,Potassium (K),1.000,0.800,0.950,0.880,0.900,0.700,USDA and multiple studies confirm >95–100% retention in vegetables under steam.,Some potassium loss due to cellular breakdown and vaporization during long roasting.,Microwave cooking reduces potassium slightly; average range 83–108%.,Slight loss via drippings; USDA and studies show 80–100% range,Slight losses into oil; somewhat leachable,"Significant leaching; 30–90% range, average ~70%"
se,Selenium (Se),1.000,0.850,0.975,0.850,0.950,0.900,Stable under steam; assumed no degradation or leaching.,Dry-air roasting causes Se losses; vacuum roasting improves retention.,Stable in microwave; retained like other trace minerals.,Some loss in high heat; moderate retention assumed,Some loss may occur at high heat,Stable trace element; moderate retention in boiling
na,Sodium (Na),1.000,0.800,0.975,0.880,0.950,0.950,Not water-leached in steam; stable mineral.,Slight losses reported in some foods due to drip loss or vapor movement.,Varies by food; zucchini showed 126–133% due to concentration effects.,Some loss in juices/drippings; USDA supports 80–90%,Possible minor leaching; otherwise stable,"Stable; only diluted, not destroyed"
zn,Zinc (Zn),1.000,1.000,0.975,1.000,0.950,0.900,USDA retention factor confirms full retention with steaming.,Stable in dry heat; no loss reported in USDA data.,Retention ranges 77–117%; slight variability by vegetable.,Highly stable; no expected loss during dry heat cooking,Trace losses but generally heat-stable,Mostly retained; some leaching depending on food type
cho,Available CHO,1.000,0.980,0.975,1.000,0.950,0.950,"Available carbohydrates (e.g., sugars, starches) are not lost in steam cooking.",Minor losses from caramelization or heat-induced degradation.,Total carbohydrates mostly retained; resistant starch may increase.,Carbohydrates remain largely intact; Maillard browning affects structure not quantity,Small losses possible from caramelization/Maillard reaction,Carbohydrates are stable; minor loss via sugar leaching
starch,Starch,1.000,0.980,0.975,1.000,0.950,0.950,Complex carbohydrates are not degraded or leached during steaming.,May undergo gelatinization but quantity mostly unchanged.,"Structure may change, but quantity unaffected; possible formation of resistant starch.",Heat-stable; may gelatinize but not destroyed during grilling,Partial gelatinization and breakdown; largely retained,Stable during boiling; retained within cell structures
frus,Fructose,1.000,0.900,0.950,0.900,0.900,0.900,Monosaccharides remain intact under heat; no loss expected in steam.,Sugar degradation possible; roasting increases free sugars in some foods.,Simple sugars are stable under microwave conditions; no isomerization.,Simple sugar; some caramelization or degradation under heat,Heat-sensitive monosaccharide; slight degradation,"Small sugar; some leaching, especially in fruits"
glus,Glucose,1.000,0.900,0.950,0.900,0.900,0.900,Heat-stable simple sugar; retained in steamed foods.,Slight loss due to caramelization or Maillard reaction; varies by matrix.,No reported degradation; stable at cooking temperatures.,"Monosaccharide; susceptible to caramelization, moderate loss",Similar to fructose; participates in browning reactions,Same as fructose; water-soluble but mostly retained
sucs,Sucrose,1.000,0.900,0.950,0.850,0.880,0.900,Stable under steaming conditions; no degradation or leaching.,Similar to fructose; some degradation during dry-heat exposure.,Stable disaccharide; minimal hydrolysis at short microwave durations.,Breaks down into glucose/fructose at heat; partial degradation,Hydrolyzes at high heat into glucose/fructose; partial loss,Similar to other simple sugars; assumed slightly leachable
mals,Maltose,1.000,0.900,0.950,0.850,0.900,0.900,Not hydrolyzed or lost in steaming; 100% retained.,Stable sugar; roasting may decrease slightly depending on exposure time.,No significant loss during microwaving.,Heat-sensitive disaccharide; degrades under high temperatures,Moderately heat-stable disaccharide,Stable disaccharide; boiling doesn't degrade it
fsugar,Free Sugars,1.000,0.900,0.950,0.880,0.900,0.900,All simple sugars assumed fully retained.,Total free sugars increase in some foods due to starch breakdown.,Sum of stable sugars; no evidence of degradation.,Includes mix of simple sugars; moderate losses via caramelization,Group average; slight degradation from high temperatures,Grouped sugars; ~10% lost during boiling on average
lactose,Lactose,1.000,0.900,0.950,0.900,0.900,0.950,Dairy sugar not affected by steaming.,Stable in dairy; minor changes may occur with high-heat roasting.,Stable in milk under microwaving for short periods.,Stable in milk-based solids; mild degradation in dry heat,Relatively stable; may degrade slightly under prolonged frying,"Milk sugar; stable under heat, minor loss"
f4d0,Butyric acid (C4:0),1.000,1.000,0.975,0.800,1.000,0.800,Short-chain fatty acid stable in moist heat; retained.,Short-chain saturated fats stable under roasting.,Stable short-chain fatty acid; no microwave-specific data showing loss.,"Short-chain fatty acid; more volatile, some loss expected",Very stable short-chain saturated fat,Short-chain FA; may leach into water or volatilize slightly
f6d0,Caproic acid (C6:0),1.000,1.000,0.975,0.800,1.000,0.800,Saturated fatty acid; no degradation under steam.,Same as above; unaffected by dry heat.,No evidence of degradation; typical stability of saturated fats.,Volatile medium-chain FA; partial loss under heat,Saturated; not oxidized under frying conditions,Similar to butyric; slightly more stable
f8d0,Caprylic acid (C8:0),1.000,1.000,0.975,0.850,1.000,0.800,Stable MCT; no significant loss.,Stable; roasting doesn't degrade short-chain saturated fats.,Stable in heat; saturated MCT unaffected by microwaving.,Moderate volatility; may drip off or degrade,Stable saturated fatty acid,Medium-chain; minor loss due to leaching
f10d0,Capric acid (C10:0),1.000,1.000,0.975,0.850,1.000,0.800,Fully retained during steaming; not volatile.,Stable; roasting doesn't degrade short-chain saturated fats.,Microwave does not alter these medium-chain fats.,Medium-chain saturated FA; moderately heat-stable,Very stable in high heat,Stable; assumed similar to other MCFAs
f11d0,Undecanoic acid (C11:0),1.000,1.000,0.975,0.850,1.000,0.800,Longer-chain saturated fat; stable in steam.,No loss reported; minor component but heat-stable.,Assumed stable like similar fatty acids.,"Medium-chain FA; limited direct data, estimated similar to C10:0",No significant heat loss,No specific data; grouped with similar chain FAs
f12d0,Lauric acid (C12:0),1.000,1.000,0.975,0.900,1.000,0.850,Stable saturated fat; steam has no effect.,Lauric acid is heat-stable; especially in coconut or nut matrices.,Stable under microwaving; no oxidation under standard use.,More stable saturated FA; mild loss via drippings,Saturated fat; heat-resistant,Longer chain; more stable during boiling
f14d0,Myristic acid (C14:0),1.000,1.000,0.975,0.900,1.000,0.850,Retained; no degradation observed in steam studies.,No reported roasting losses; saturated and stable.,Saturated fat; no reported isomerization or oxidation.,Heat-stable saturated FA; minor degradation,Stable under frying,Stable saturated fat
f15d0,Pentadecanoic acid (C15:0),1.000,1.000,0.975,0.900,1.000,0.850,Long-chain fatty acid; unaffected by steaming.,Stable; grouped under general saturated fats.,Stable; no transformation during microwaving.,Similar behavior to C14:0; retained in fat matrix,Saturated and heat-stable,Less common but behaves like other saturated fats
f16d0,Palmitic acid (C16:0),1.000,1.000,0.975,0.900,1.000,0.850,USDA confirms retention of all saturated fats in steaming.,Palmitic acid unaffected by roasting based on multiple studies.,Primary saturated fat; stable during cooking.,"Common, stable FA; minor dripping loss",Most abundant SFA; highly stable,Stable; most common saturated FA in food
f18d0,Stearic acid (C18:0),1.000,1.000,0.975,0.900,1.000,0.850,Steaming doesn't alter this common saturated fat.,Stable; stearic acid retained in nut and meat matrices.,Common and stable in meat/dairy; unaffected by microwaving.,Stable long-chain FA; retained well during dry heat,Does not degrade during frying,Long-chain SFA; heat stable
f20d0,Arachidic acid (C20:0),1.000,1.000,0.975,0.900,1.000,0.850,"Stable fatty acid, not affected by moist heat.",Long-chain saturated fatty acids show full retention.,Long-chain SFAs are retained; no loss observed.,Long-chain saturated FA; stable under grilling,Stable saturated fat,Very stable during boiling
f22d0,Behenic acid (C22:0),1.000,1.000,0.975,0.900,1.000,0.850,High molecular weight; no loss in steaming.,No degradation observed; stable in oil-rich foods.,Heat-stable; no evidence of transformation.,Very stable; minimal heat degradation,Unaffected by deep-frying,Stable SFA
f24d0,Lignoceric acid (C24:0),1.000,1.000,0.975,0.900,1.000,0.850,Not altered by steaming.,Similar trend; stable long-chain saturated fat.,Assumed same stability as other SFAs.,Long-chain saturated FA; heat-resistant,Heat-stable long-chain SFA,Long-chain SFA; boiling doesn’t affect
f14d1cn5,Myristoleic acid (C14:1),1.000,1.000,0.975,0.880,0.950,0.850,Monounsaturated fat; retained under steaming.,Monounsaturated fats slightly oxidized but generally retained.,Monounsaturated; no microwave-induced changes reported.,Monounsaturated; slightly less stable than saturated FAs,Monounsaturated; slightly prone to oxidation,Stable MUFA; minor leaching possible
